i,o
APPLE.COM/BILL $227.79 07/10,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $79.11 01/05,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $437.64 09/18,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $445.97 03/17,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $38.06 09/03,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $27.39 03/28,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $479.01 02/10,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $165.62 05/14,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $428.82 07/03,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $494.15 11/30,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $178.3 05/23,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $197.16 03/04,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $23.34 12/26,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $323.61 09/19,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $442.93 06/22,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $380.52 08/21,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $293.85 01/20,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $419.85 10/25,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $24.82 07/29,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $194.07 07/13,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $364.45 03/23,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $447.67 10/05,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $237.24 08/26,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $222.32 03/02,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $283.47 07/17,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $198.36 03/09,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $236.04 07/29,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $415.68 06/23,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $187.42 12/30,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $498.96 09/02,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $201.22 04/14,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $365.28 06/17,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $230.68 04/29,"('Apple/iTunes', 'Subscription')"
NETFLIX.COM $378.47 11/26,"('Netflix', 'Subscription')"
NETFLIX.COM $163.26 01/28,"('Netflix', 'Subscription')"
NETFLIX.COM $346.34 07/31,"('Netflix', 'Subscription')"
NETFLIX.COM $467.05 12/25,"('Netflix', 'Subscription')"
NETFLIX.COM $453.0 05/13,"('Netflix', 'Subscription')"
NETFLIX.COM $479.48 07/25,"('Netflix', 'Subscription')"
NETFLIX.COM $209.32 02/11,"('Netflix', 'Subscription')"
NETFLIX.COM $261.74 08/05,"('Netflix', 'Subscription')"
NETFLIX.COM $41.55 09/18,"('Netflix', 'Subscription')"
NETFLIX.COM $263.63 10/30,"('Netflix', 'Subscription')"
NETFLIX.COM $322.66 07/17,"('Netflix', 'Subscription')"
NETFLIX.COM $477.23 06/08,"('Netflix', 'Subscription')"
NETFLIX.COM $29.62 06/19,"('Netflix', 'Subscription')"
NETFLIX.COM $91.99 06/20,"('Netflix', 'Subscription')"
NETFLIX.COM $494.53 02/16,"('Netflix', 'Subscription')"
NETFLIX.COM $281.95 10/08,"('Netflix', 'Subscription')"
NETFLIX.COM $159.65 05/05,"('Netflix', 'Subscription')"
NETFLIX.COM $156.9 03/01,"('Netflix', 'Subscription')"
NETFLIX.COM $162.7 08/12,"('Netflix', 'Subscription')"
NETFLIX.COM $328.2 05/22,"('Netflix', 'Subscription')"
NETFLIX SUB $211.9 05/09,"('Netflix', 'Subscription')"
NETFLIX SUB $266.32 05/27,"('Netflix', 'Subscription')"
NETFLIX SUB $281.39 12/12,"('Netflix', 'Subscription')"
NETFLIX SUB $239.94 12/04,"('Netflix', 'Subscription')"
NETFLIX SUB $311.44 04/23,"('Netflix', 'Subscription')"
NETFLIX SUB $490.68 07/11,"('Netflix', 'Subscription')"
NETFLIX SUB $293.19 01/17,"('Netflix', 'Subscription')"
NETFLIX SUB $125.78 06/09,"('Netflix', 'Subscription')"
NETFLIX SUB $203.69 06/20,"('Netflix', 'Subscription')"
NETFLIX SUB $428.37 11/21,"('Netflix', 'Subscription')"
NETFLIX SUB $192.17 01/01,"('Netflix', 'Subscription')"
NETFLIX SUB $269.6 01/21,"('Netflix', 'Subscription')"
NETFLIX SUB $287.74 10/24,"('Netflix', 'Subscription')"
NETFLIX SUB $16.13 03/26,"('Netflix', 'Subscription')"
NETFLIX SUB $38.87 12/06,"('Netflix', 'Subscription')"
NETFLIX SUB $84.02 12/31,"('Netflix', 'Subscription')"
NETFLIX SUB $250.41 12/28,"('Netflix', 'Subscription')"
NETFLIX SUB $299.29 12/07,"('Netflix', 'Subscription')"
NETFLIX SUB $225.08 01/02,"('Netflix', 'Subscription')"
NETFLIX SUB $446.07 10/31,"('Netflix', 'Subscription')"
UBER TRIP $127.13 01/25,"('Uber', 'Transportation')"
UBER TRIP $462.73 05/12,"('Uber', 'Transportation')"
UBER TRIP $247.1 05/12,"('Uber', 'Transportation')"
UBER TRIP $265.07 07/12,"('Uber', 'Transportation')"
UBER TRIP $455.15 06/15,"('Uber', 'Transportation')"
UBER TRIP $385.83 09/16,"('Uber', 'Transportation')"
UBER TRIP $70.14 03/28,"('Uber', 'Transportation')"
UBER TRIP $309.24 10/31,"('Uber', 'Transportation')"
UBER TRIP $272.91 11/02,"('Uber', 'Transportation')"
UBER TRIP $338.41 05/18,"('Uber', 'Transportation')"
UBER TRIP $134.63 08/15,"('Uber', 'Transportation')"
UBER TRIP $332.14 10/25,"('Uber', 'Transportation')"
UBER TRIP $352.11 08/06,"('Uber', 'Transportation')"
UBER TRIP $489.82 09/20,"('Uber', 'Transportation')"
UBER TRIP $69.32 03/09,"('Uber', 'Transportation')"
UBER TRIP $406.07 03/10,"('Uber', 'Transportation')"
UBER TRIP $467.49 07/15,"('Uber', 'Transportation')"
UBER TRIP $318.02 02/25,"('Uber', 'Transportation')"
UBER TRIP $362.62 09/01,"('Uber', 'Transportation')"
UBER TRIP $166.45 10/18,"('Uber', 'Transportation')"
UBER EATS $276.17 09/28,"('Uber', 'Food Delivery')"
UBER EATS $192.07 02/26,"('Uber', 'Food Delivery')"
UBER EATS $80.17 02/22,"('Uber', 'Food Delivery')"
UBER EATS $144.1 02/20,"('Uber', 'Food Delivery')"
UBER EATS $166.67 10/11,"('Uber', 'Food Delivery')"
UBER EATS $360.17 08/29,"('Uber', 'Food Delivery')"
UBER EATS $155.95 08/21,"('Uber', 'Food Delivery')"
UBER EATS $440.88 09/30,"('Uber', 'Food Delivery')"
UBER EATS $109.12 02/14,"('Uber', 'Food Delivery')"
UBER EATS $488.61 06/12,"('Uber', 'Food Delivery')"
UBER EATS $273.64 01/12,"('Uber', 'Food Delivery')"
UBER EATS $409.28 01/07,"('Uber', 'Food Delivery')"
UBER EATS $312.53 02/06,"('Uber', 'Food Delivery')"
UBER EATS $244.41 08/23,"('Uber', 'Food Delivery')"
UBER EATS $90.39 11/09,"('Uber', 'Food Delivery')"
UBER EATS $413.01 12/22,"('Uber', 'Food Delivery')"
UBER EATS $26.92 01/06,"('Uber', 'Food Delivery')"
UBER EATS $339.42 12/15,"('Uber', 'Food Delivery')"
UBER EATS $77.31 09/19,"('Uber', 'Food Delivery')"
UBER EATS $429.63 11/28,"('Uber', 'Food Delivery')"
WALMART 5678 $489.11 03/08,"('Walmart', 'Retail')"
WALMART 5678 $217.83 04/05,"('Walmart', 'Retail')"
WALMART 5678 $30.8 02/14,"('Walmart', 'Retail')"
WALMART 5678 $151.23 09/08,"('Walmart', 'Retail')"
WALMART 5678 $375.18 08/24,"('Walmart', 'Retail')"
WALMART 5678 $98.44 12/29,"('Walmart', 'Retail')"
WALMART 5678 $392.94 02/03,"('Walmart', 'Retail')"
WALMART 5678 $452.31 03/30,"('Walmart', 'Retail')"
WALMART 5678 $412.32 09/29,"('Walmart', 'Retail')"
WALMART 5678 $70.03 08/10,"('Walmart', 'Retail')"
WALMART 5678 $311.68 10/02,"('Walmart', 'Retail')"
WALMART 5678 $372.58 12/22,"('Walmart', 'Retail')"
WALMART 5678 $473.43 11/09,"('Walmart', 'Retail')"
WALMART 5678 $20.57 02/23,"('Walmart', 'Retail')"
WALMART 5678 $499.58 03/27,"('Walmart', 'Retail')"
WALMART 5678 $7.73 01/18,"('Walmart', 'Retail')"
WALMART 5678 $428.66 06/24,"('Walmart', 'Retail')"
WALMART 5678 $82.67 01/04,"('Walmart', 'Retail')"
WALMART 5678 $435.74 12/27,"('Walmart', 'Retail')"
WALMART 5678 $258.84 07/07,"('Walmart', 'Retail')"
WALMART GROC 1234 $97.21 03/04,"('Walmart', 'Retail')"
WALMART GROC 1234 $38.22 03/08,"('Walmart', 'Retail')"
WALMART GROC 1234 $448.67 05/25,"('Walmart', 'Retail')"
WALMART GROC 1234 $67.18 10/27,"('Walmart', 'Retail')"
WALMART GROC 1234 $365.14 09/27,"('Walmart', 'Retail')"
WALMART GROC 1234 $95.75 04/24,"('Walmart', 'Retail')"
WALMART GROC 1234 $69.44 09/29,"('Walmart', 'Retail')"
WALMART GROC 1234 $339.78 05/23,"('Walmart', 'Retail')"
WALMART GROC 1234 $69.01 01/16,"('Walmart', 'Retail')"
WALMART GROC 1234 $392.39 10/21,"('Walmart', 'Retail')"
WALMART GROC 1234 $29.37 10/08,"('Walmart', 'Retail')"
WALMART GROC 1234 $341.73 11/19,"('Walmart', 'Retail')"
WALMART GROC 1234 $241.93 08/06,"('Walmart', 'Retail')"
WALMART GROC 1234 $148.72 01/08,"('Walmart', 'Retail')"
WALMART GROC 1234 $364.61 05/10,"('Walmart', 'Retail')"
WALMART GROC 1234 $257.01 04/19,"('Walmart', 'Retail')"
WALMART GROC 1234 $480.21 01/14,"('Walmart', 'Retail')"
WALMART GROC 1234 $367.36 12/01,"('Walmart', 'Retail')"
WALMART GROC 1234 $235.84 05/30,"('Walmart', 'Retail')"
WALMART GROC 1234 $116.19 06/23,"('Walmart', 'Retail')"
SPOTIFY USA $419.17 04/17,"('Spotify', 'Subscription')"
SPOTIFY USA $106.95 04/03,"('Spotify', 'Subscription')"
SPOTIFY USA $200.36 09/04,"('Spotify', 'Subscription')"
SPOTIFY USA $370.66 02/22,"('Spotify', 'Subscription')"
SPOTIFY USA $392.37 07/26,"('Spotify', 'Subscription')"
SPOTIFY USA $10.73 08/04,"('Spotify', 'Subscription')"
SPOTIFY USA $204.1 07/21,"('Spotify', 'Subscription')"
SPOTIFY USA $257.87 01/27,"('Spotify', 'Subscription')"
SPOTIFY USA $134.23 05/20,"('Spotify', 'Subscription')"
SPOTIFY USA $87.38 05/22,"('Spotify', 'Subscription')"
SPOTIFY USA $183.55 09/15,"('Spotify', 'Subscription')"
SPOTIFY USA $355.31 10/27,"('Spotify', 'Subscription')"
SPOTIFY USA $225.86 04/19,"('Spotify', 'Subscription')"
SPOTIFY USA $346.69 09/06,"('Spotify', 'Subscription')"
SPOTIFY USA $154.67 01/23,"('Spotify', 'Subscription')"
SPOTIFY USA $76.22 03/04,"('Spotify', 'Subscription')"
SPOTIFY USA $489.35 11/04,"('Spotify', 'Subscription')"
SPOTIFY USA $320.27 10/25,"('Spotify', 'Subscription')"
SPOTIFY USA $440.43 08/27,"('Spotify', 'Subscription')"
SPOTIFY USA $104.28 01/29,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $273.77 07/27,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $492.22 07/10,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $425.21 05/11,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $296.31 09/03,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $225.45 11/17,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $353.24 04/19,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $257.6 07/19,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $452.74 10/25,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $141.79 05/11,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $337.08 07/26,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $328.57 03/15,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $158.93 06/08,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $449.82 09/01,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $465.26 01/06,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $268.7 06/08,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $202.07 04/16,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $211.37 08/08,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $302.13 02/13,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $186.03 09/20,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $115.89 09/26,"('Spotify', 'Subscription')"
PAYPAL *MERCHANT $34.21 12/25,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $382.5 01/23,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $301.7 07/27,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $454.17 01/19,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $161.48 01/25,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $271.66 06/09,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $316.33 08/20,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $193.87 10/06,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $480.39 02/02,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $302.06 02/14,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $462.01 08/10,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $49.06 03/21,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $6.85 12/14,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $89.2 12/29,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $141.9 07/22,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $153.68 04/20,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $255.67 07/19,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $350.39 07/18,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $247.78 12/11,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $85.92 03/07,"('PayPal', 'Payment')"
PAYPAL *EBAY $19.03 04/18,"('PayPal', 'Payment')"
PAYPAL *EBAY $216.12 07/01,"('PayPal', 'Payment')"
PAYPAL *EBAY $246.5 03/12,"('PayPal', 'Payment')"
PAYPAL *EBAY $199.81 09/04,"('PayPal', 'Payment')"
PAYPAL *EBAY $303.17 03/25,"('PayPal', 'Payment')"
PAYPAL *EBAY $361.94 11/02,"('PayPal', 'Payment')"
PAYPAL *EBAY $181.65 08/28,"('PayPal', 'Payment')"
PAYPAL *EBAY $477.71 07/07,"('PayPal', 'Payment')"
PAYPAL *EBAY $424.17 04/14,"('PayPal', 'Payment')"
PAYPAL *EBAY $147.22 05/03,"('PayPal', 'Payment')"
PAYPAL *EBAY $312.29 05/12,"('PayPal', 'Payment')"
PAYPAL *EBAY $8.04 09/23,"('PayPal', 'Payment')"
PAYPAL *EBAY $32.63 05/29,"('PayPal', 'Payment')"
PAYPAL *EBAY $115.01 07/16,"('PayPal', 'Payment')"
PAYPAL *EBAY $134.61 04/22,"('PayPal', 'Payment')"
PAYPAL *EBAY $395.63 05/28,"('PayPal', 'Payment')"
PAYPAL *EBAY $252.72 01/20,"('PayPal', 'Payment')"
PAYPAL *EBAY $174.57 03/10,"('PayPal', 'Payment')"
PAYPAL *EBAY $407.4 03/16,"('PayPal', 'Payment')"
PAYPAL *EBAY $352.33 08/22,"('PayPal', 'Payment')"
GOOGLE *SERVICE $421.14 02/22,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $401.65 07/26,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $45.59 07/04,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $222.81 07/18,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $193.1 09/09,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $386.63 05/07,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $200.29 09/10,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $229.69 12/06,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $97.39 02/21,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $480.51 04/15,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $135.81 12/04,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $447.06 08/02,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $150.79 06/14,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $492.11 04/01,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $309.07 08/07,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $116.11 01/03,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $21.4 03/17,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $244.52 04/13,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $97.06 01/10,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $177.95 03/16,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $479.47 07/17,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $444.48 06/08,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $29.39 02/28,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $352.45 10/07,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $224.54 07/26,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $109.81 10/24,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $468.91 03/24,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $402.68 04/16,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $447.16 12/25,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $49.73 11/30,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $105.63 04/06,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $86.92 06/04,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $395.65 11/08,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $302.88 07/07,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $37.6 05/11,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $110.56 08/28,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $365.91 05/04,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $71.43 01/09,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $334.38 11/27,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $148.94 03/07,"('Google Play', 'Subscription')"
STARBUCKS $261.07 05/12,"('Starbucks', 'Food & Beverage')"
STARBUCKS $142.75 11/21,"('Starbucks', 'Food & Beverage')"
STARBUCKS $232.76 01/30,"('Starbucks', 'Food & Beverage')"
STARBUCKS $121.53 01/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS $43.53 11/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS $427.03 03/13,"('Starbucks', 'Food & Beverage')"
STARBUCKS $218.26 07/29,"('Starbucks', 'Food & Beverage')"
STARBUCKS $412.66 03/02,"('Starbucks', 'Food & Beverage')"
STARBUCKS $34.74 10/20,"('Starbucks', 'Food & Beverage')"
STARBUCKS $250.08 11/22,"('Starbucks', 'Food & Beverage')"
STARBUCKS $112.23 10/26,"('Starbucks', 'Food & Beverage')"
STARBUCKS $329.34 05/11,"('Starbucks', 'Food & Beverage')"
STARBUCKS $48.89 10/03,"('Starbucks', 'Food & Beverage')"
STARBUCKS $348.05 02/23,"('Starbucks', 'Food & Beverage')"
STARBUCKS $397.02 07/06,"('Starbucks', 'Food & Beverage')"
STARBUCKS $435.22 07/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS $171.43 02/26,"('Starbucks', 'Food & Beverage')"
STARBUCKS $178.95 01/10,"('Starbucks', 'Food & Beverage')"
STARBUCKS $324.85 04/07,"('Starbucks', 'Food & Beverage')"
STARBUCKS $362.38 02/05,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $220.46 12/11,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $491.21 10/22,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $8.69 11/26,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $108.35 12/02,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $497.3 12/30,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $47.7 01/01,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $103.62 04/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $303.83 08/30,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $414.7 04/18,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $32.49 01/29,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $47.16 05/01,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $176.26 02/17,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $461.81 05/24,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $187.66 07/01,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $65.41 08/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $404.92 08/26,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $339.94 09/03,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $401.84 12/07,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $395.82 09/28,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $34.5 11/18,"('Starbucks', 'Food & Beverage')"
MCDONALD'S 5678 $95.14 06/29,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $481.07 11/02,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $131.48 05/21,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $254.08 03/30,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $177.93 06/27,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $62.71 04/28,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $467.56 04/26,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $225.61 04/26,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $412.06 09/14,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $35.39 07/17,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $53.76 11/26,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $103.44 03/29,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $225.92 04/02,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $94.24 05/07,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $204.14 04/13,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $245.35 04/20,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $217.42 06/17,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $373.08 07/04,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $439.12 10/09,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 5678 $489.97 08/19,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $115.72 12/23,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $451.21 05/15,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $387.63 08/28,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $152.07 06/11,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $338.98 04/12,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $108.8 03/16,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $16.31 08/09,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $263.13 04/28,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $283.7 12/23,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $157.95 05/21,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $182.63 11/05,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $264.01 05/11,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $493.93 01/11,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $357.45 07/13,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $217.3 03/01,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $220.05 07/08,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $109.9 07/09,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $379.08 04/20,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $345.71 06/10,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $95.66 11/17,"('McDonald's', 'Food & Beverage')"
TARGET T-5678 $300.96 11/06,"('Target', 'Retail')"
TARGET T-5678 $311.6 08/31,"('Target', 'Retail')"
TARGET T-5678 $221.79 06/29,"('Target', 'Retail')"
TARGET T-5678 $414.72 06/02,"('Target', 'Retail')"
TARGET T-5678 $262.27 02/24,"('Target', 'Retail')"
TARGET T-5678 $471.14 04/09,"('Target', 'Retail')"
TARGET T-5678 $126.71 02/23,"('Target', 'Retail')"
TARGET T-5678 $439.2 05/22,"('Target', 'Retail')"
TARGET T-5678 $186.99 04/24,"('Target', 'Retail')"
TARGET T-5678 $126.22 02/05,"('Target', 'Retail')"
TARGET T-5678 $327.87 06/09,"('Target', 'Retail')"
TARGET T-5678 $42.96 03/09,"('Target', 'Retail')"
TARGET T-5678 $394.65 08/18,"('Target', 'Retail')"
TARGET T-5678 $311.37 03/13,"('Target', 'Retail')"
TARGET T-5678 $355.91 07/09,"('Target', 'Retail')"
TARGET T-5678 $483.55 03/16,"('Target', 'Retail')"
TARGET T-5678 $169.87 04/06,"('Target', 'Retail')"
TARGET T-5678 $249.14 05/15,"('Target', 'Retail')"
TARGET T-5678 $361.43 09/26,"('Target', 'Retail')"
TARGET T-5678 $430.03 11/07,"('Target', 'Retail')"
TARGET STORE 1234 $380.63 06/18,"('Target', 'Retail')"
TARGET STORE 1234 $17.87 12/27,"('Target', 'Retail')"
TARGET STORE 1234 $447.39 04/24,"('Target', 'Retail')"
TARGET STORE 1234 $158.99 02/28,"('Target', 'Retail')"
TARGET STORE 1234 $208.79 02/18,"('Target', 'Retail')"
TARGET STORE 1234 $398.45 01/27,"('Target', 'Retail')"
TARGET STORE 1234 $84.48 08/05,"('Target', 'Retail')"
TARGET STORE 1234 $67.55 05/20,"('Target', 'Retail')"
TARGET STORE 1234 $37.75 09/02,"('Target', 'Retail')"
TARGET STORE 1234 $103.95 10/20,"('Target', 'Retail')"
TARGET STORE 1234 $494.16 09/10,"('Target', 'Retail')"
TARGET STORE 1234 $169.7 07/22,"('Target', 'Retail')"
TARGET STORE 1234 $90.2 06/30,"('Target', 'Retail')"
TARGET STORE 1234 $13.65 03/02,"('Target', 'Retail')"
TARGET STORE 1234 $112.94 12/20,"('Target', 'Retail')"
